ID_Cliente,Fecha de compra,ID_articulo
67600,01/01/2023,ART_073
12900,29/07/2020,ART_049
1400,19/04/2022,ART_095
66700,21/11/2024,ART_092
90700,28/09/2020,ART_076
87300,03/03/2020,ART_079
12400,07/12/2023,ART_074
99500,04/11/2021,ART_052
111400,09/03/2023,ART_100
97100,04/04/2022,ART_097
72200,12/06/2024,ART_009
80500,01/01/2020,ART_097
39500,18/03/2024,ART_049
105400,22/09/2020,ART_095
21400,02/01/2025,ART_047
29100,03/03/2021,ART_003
96400,04/10/2024,ART_068
47200,27/09/2022,ART_066
83300,02/10/2020,ART_012
2000,30/04/2020,ART_086
23600,14/01/2023,ART_010
54900,20/08/2022,ART_016
94500,23/11/2022,ART_077
47900,17/12/2021,ART_056
15500,16/01/2022,ART_004
4600,26/01/2023,ART_062
30700,02/02/2022,ART_041
64300,03/10/2020,ART_078
46000,15/01/2024,ART_042
109400,31/07/2020,ART_090
38400,06/12/2019,ART_093
60200,05/12/2024,ART_065
37300,12/11/2021,ART_039
34200,06/12/2019,ART_058
4300,04/11/2019,ART_085
93200,03/09/2024,ART_093
40700,13/01/2024,ART_012
26900,17/08/2024,ART_071
63000,22/07/2024,ART_027
52900,08/11/2020,ART_070
114200,10/09/2023,ART_053
93400,27/06/2020,ART_068
19900,12/09/2023,ART_045
79300,07/03/2024,ART_027
34500,06/01/2022,ART_080
117000,15/08/2024,ART_069
22900,16/01/2025,ART_095
62300,05/09/2021,ART_009
69700,04/10/2022,ART_003
96400,11/10/2019,ART_057
56500,16/08/2024,ART_022
15400,28/09/2024,ART_047
107900,25/07/2024,ART_097
74300,24/09/2022,ART_063
110400,25/04/2021,ART_012
107900,04/03/2022,ART_014
54400,15/04/2023,ART_076
7100,07/10/2019,ART_089
46000,03/08/2020,ART_010
116100,23/06/2023,ART_007
103600,07/10/2022,ART_012
70700,27/04/2023,ART_069
49300,14/06/2020,ART_035
8000,02/07/2023,ART_040
30300,10/12/2023,ART_060
39300,04/03/2025,ART_012
30900,03/11/2020,ART_049
38400,21/02/2023,ART_031
111600,18/10/2021,ART_037
111100,18/09/2021,ART_070
90200,03/11/2024,ART_017
84600,05/02/2021,ART_093
50800,13/03/2020,ART_045
54300,03/07/2023,ART_050
95800,14/06/2023,ART_071
99300,07/07/2022,ART_031
77900,19/04/2022,ART_015
102600,07/11/2021,ART_013
53800,25/09/2024,ART_023
31200,27/08/2022,ART_077
90000,04/02/2025,ART_087
116600,07/03/2025,ART_092
100,26/01/2024,ART_074
97400,25/04/2020,ART_051
28500,24/08/2021,ART_059
112300,01/02/2021,ART_094
57900,28/12/2020,ART_040
73900,25/10/2024,ART_076
14400,02/08/2021,ART_089
90700,05/12/2024,ART_099
22000,19/11/2024,ART_055
26800,01/01/2025,ART_088
5800,23/09/2020,ART_008
107600,12/01/2024,ART_034
96500,13/03/2023,ART_072
29800,24/02/2024,ART_059
86600,07/03/2023,ART_064
79900,31/10/2020,ART_084
74400,27/08/2022,ART_059
6800,07/06/2023,ART_008
2600,19/06/2021,ART_078
64300,04/07/2024,ART_011
25800,16/05/2023,ART_051
79900,18/11/2022,ART_014
110200,09/07/2022,ART_027
45500,02/11/2023,ART_050
70400,22/10/2021,ART_046
39800,16/06/2022,ART_055
12100,16/04/2020,ART_081
2700,09/07/2024,ART_091
50400,10/09/2021,ART_038
37800,06/02/2024,ART_078
52400,03/04/2023,ART_074
43500,28/08/2023,ART_071
9100,28/10/2021,ART_068
21600,19/08/2020,ART_093
73000,24/11/2022,ART_057
108800,13/03/2021,ART_041
32600,19/02/2025,ART_050
117000,05/09/2020,ART_009
61200,08/07/2023,ART_077
54200,23/05/2023,ART_021
93400,10/10/2021,ART_050
112500,02/06/2024,ART_076
114300,04/11/2020,ART_050
94000,03/06/2022,ART_021
113100,27/12/2023,ART_045
40800,06/05/2023,ART_035
114400,12/06/2024,ART_066
55200,10/09/2022,ART_006
96200,25/04/2023,ART_060
54100,08/06/2020,ART_071
53400,30/03/2023,ART_050
104200,18/08/2023,ART_031
23500,05/09/2020,ART_015
12800,01/11/2019,ART_055
27900,07/10/2022,ART_051
78900,07/10/2021,ART_001
52000,24/02/2021,ART_055
8700,10/03/2020,ART_068
70500,28/03/2023,ART_025
300,13/07/2020,ART_043
17400,09/09/2024,ART_047
4200,08/01/2021,ART_066
49200,30/10/2024,ART_014
16900,28/06/2024,ART_054
11000,16/02/2021,ART_072
93800,14/10/2022,ART_077
95500,10/12/2022,ART_072
93300,08/12/2020,ART_039
84500,15/03/2021,ART_077
43700,01/10/2020,ART_041
2500,10/03/2020,ART_078
27800,31/08/2020,ART_016
52700,10/12/2023,ART_058
8200,06/12/2020,ART_064
22400,29/01/2024,ART_093
35200,20/09/2023,ART_052
113400,04/12/2020,ART_010
12700,11/12/2022,ART_037
64100,30/09/2024,ART_026
59200,12/03/2023,ART_005
66200,13/12/2021,ART_041
98100,31/07/2023,ART_092
54400,08/12/2023,ART_013
65800,31/01/2024,ART_018
12000,02/04/2024,ART_047
29500,28/06/2021,ART_084
90400,15/07/2023,ART_013
109800,23/05/2020,ART_099
48200,06/11/2021,ART_051
93000,08/01/2024,ART_070
76800,04/09/2020,ART_042
17100,11/08/2024,ART_100
87400,24/02/2021,ART_039
3500,23/02/2021,ART_088
47400,05/06/2023,ART_057
94000,16/11/2024,ART_062
8000,03/07/2023,ART_078
91500,27/08/2024,ART_088
92800,03/12/2020,ART_054
58200,28/11/2022,ART_013
14400,10/08/2021,ART_084
46300,24/06/2021,ART_019
41100,26/12/2024,ART_077
112200,20/02/2020,ART_035
6100,21/07/2023,ART_035
93700,03/02/2021,ART_091
116500,26/09/2021,ART_026
21800,20/07/2020,ART_072
101300,09/03/2025,ART_078
10000,25/07/2024,ART_010
27800,29/06/2020,ART_085
64600,05/10/2023,ART_041
9300,27/05/2022,ART_028
67800,05/09/2024,ART_067
39700,24/09/2020,ART_066
97700,11/12/2022,ART_003
32800,02/05/2023,ART_017
102800,29/06/2024,ART_016
104100,11/03/2022,ART_005
52300,16/01/2023,ART_042
89300,07/02/2023,ART_031
98900,31/08/2020,ART_072
64800,21/05/2020,ART_073
4500,19/09/2022,ART_052
57300,29/01/2020,ART_066
60300,18/02/2025,ART_025
30000,07/01/2021,ART_082
61500,02/05/2024,ART_047
104300,10/06/2021,ART_078
109000,28/10/2024,ART_006
101600,18/10/2024,ART_090
65600,06/01/2023,ART_021
24100,28/01/2021,ART_045
13500,21/12/2021,ART_009
81800,20/10/2024,ART_068
28200,03/05/2021,ART_052
58100,18/05/2024,ART_011
64200,01/03/2022,ART_099
83400,11/10/2019,ART_033
103300,20/11/2021,ART_077
77400,19/01/2020,ART_075
25000,07/06/2024,ART_023
54300,15/08/2021,ART_038
89400,11/09/2022,ART_020
43700,06/07/2023,ART_025
10400,17/06/2023,ART_023
69700,28/03/2023,ART_069
73100,29/05/2020,ART_033
20400,09/01/2021,ART_092
87700,09/06/2022,ART_071
22100,07/06/2023,ART_077
33600,01/02/2025,ART_007
19200,29/10/2024,ART_093
54600,14/11/2023,ART_005
101900,05/09/2020,ART_077
97400,29/05/2020,ART_088
80500,23/02/2024,ART_063
20000,04/03/2024,ART_040
21100,12/04/2023,ART_093
14200,04/07/2020,ART_088
46700,11/01/2020,ART_098
76300,19/07/2022,ART_082
29600,04/11/2019,ART_012
27600,17/07/2023,ART_048
18200,01/10/2021,ART_001
113000,30/11/2020,ART_051
17800,30/06/2020,ART_059
39100,26/01/2020,ART_099
59000,15/10/2021,ART_032
69600,16/05/2020,ART_079
20100,08/01/2021,ART_029
62800,04/10/2024,ART_058
116100,08/09/2022,ART_057
12900,29/01/2025,ART_071
18400,28/03/2023,ART_078
116900,19/09/2023,ART_079
5800,13/06/2020,ART_012
34700,06/09/2020,ART_091
6000,27/07/2023,ART_003
112700,28/06/2022,ART_090
49300,17/08/2021,ART_043
107000,31/10/2020,ART_076
99300,29/04/2021,ART_021
32300,24/12/2024,ART_089
61700,02/11/2020,ART_018
106400,15/05/2020,ART_006
73700,04/11/2022,ART_003
3400,08/06/2021,ART_098
103500,03/09/2022,ART_050
103700,06/12/2022,ART_082
102600,28/02/2022,ART_055
104300,21/07/2020,ART_068
600,28/06/2021,ART_081
2500,12/12/2020,ART_060
20900,09/07/2022,ART_068
100300,05/10/2023,ART_022
25200,14/10/2019,ART_093
6600,19/02/2025,ART_022
30200,01/11/2020,ART_011
21000,20/08/2022,ART_018
30500,08/02/2024,ART_014
52900,16/09/2021,ART_021
87100,19/10/2021,ART_023
78500,02/02/2023,ART_041
56900,18/08/2020,ART_018
78900,19/01/2023,ART_032
118000,24/06/2020,ART_021
81800,31/08/2021,ART_025
